DATE,MONTH,FY,MC,MACHINE_NO,OPERATION_RATE
28-Feb-25,FEB,FY_24,TE,TE4,79%
28-Feb-25,FEB,FY_24,TS,TS1,0%
28-Feb-25,FEB,FY_24,TS,TS2,0%
28-Feb-25,FEB,FY_24,TS,TS4,97%
28-Feb-25,FEB,FY_24,TS,TS5,97%
28-Feb-25,FEB,FY_24,TH,TH1,83%
28-Feb-25,FEB,FY_24,TH,TH2,71%
28-Feb-25,FEB,FY_24,TH,TH4,83%
28-Feb-25,FEB,FY_24,TH,TH5,32%
28-Feb-25,FEB,FY_24,TENSILE,TENSILE,0%
28-Feb-25,FEB,FY_24,VI,VI,29%
28-Feb-25,FEB,FY_24,CMM,CMM,2%
28-Feb-25,FEB,FY_24,CHILLER ,CHILLER 10T,83%
28-Feb-25,FEB,FY_24,CHILLER ,CHILLER 15T NO.1,56%
28-Feb-25,FEB,FY_24,CHILLER ,CHILLER 15T NO.2,43%
28-Feb-25,FEB,FY_24,DURA,DURA_TURN,0%
28-Feb-25,FEB,FY_24,DURA,DURA_DIM,0%
28-Feb-25,FEB,FY_24,DURA,DURA_LIGHT,0%
28-Feb-25,FEB,FY_24,DURA,DURA_STOP,100%
28-Feb-25,FEB,FY_24,DURA,DURA_DOOR,25%
28-Feb-25,FEB,FY_24,DURA,DURA_STEER,0%
28-Feb-25,FEB,FY_24,DURA,DURA_BUTTON,0%
31-Mar-25,MAR,FY_24,TE,TE1,81%
31-Mar-25,MAR,FY_24,TE,TE2,48%
31-Mar-25,MAR,FY_24,TE,TE3,46%
31-Mar-25,MAR,FY_24,TE,TE4,28%
31-Mar-25,MAR,FY_24,TS,TS1,0%
31-Mar-25,MAR,FY_24,TS,TS2,0%
31-Mar-25,MAR,FY_24,TS,TS4,100%
31-Mar-25,MAR,FY_24,TS,TS5,96%
31-Mar-25,MAR,FY_24,TH,TH1,81%
31-Mar-25,MAR,FY_24,TH,TH2,62%
31-Mar-25,MAR,FY_24,TH,TH4,69%
31-Mar-25,MAR,FY_24,TH,TH5,46%
31-Mar-25,MAR,FY_24,TENSILE,TENSILE,0%
31-Mar-25,MAR,FY_24,VI,VI,26%
31-Mar-25,MAR,FY_24,CMM,CMM,0%
31-Mar-25,MAR,FY_24,CHILLER ,CHILLER 10T,81%
31-Mar-25,MAR,FY_24,CHILLER ,CHILLER 15T NO.1,100%
31-Mar-25,MAR,FY_24,CHILLER ,CHILLER 15T NO.2,0%
31-Mar-25,MAR,FY_24,DURA,DURA_TURN,100%
31-Mar-25,MAR,FY_24,DURA,DURA_DIM,50%
31-Mar-25,MAR,FY_24,DURA,DURA_LIGHT,100%
31-Mar-25,MAR,FY_24,DURA,DURA_STOP,100%
31-Mar-25,MAR,FY_24,DURA,DURA_DOOR,25%
31-Mar-25,MAR,FY_24,DURA,DURA_STEER,0%
31-Mar-25,MAR,FY_24,DURA,DURA_BUTTON,0%
30-Apr-25,APR,FY_25,TE,TE1,39%
30-Apr-25,APR,FY_25,TE,TE2,1%
30-Apr-25,APR,FY_25,TE,TE3,20%
30-Apr-25,APR,FY_25,TE,TE4,44%
30-Apr-25,APR,FY_25,TS,TS1,0%
30-Apr-25,APR,FY_25,TS,TS2,0%
30-Apr-25,APR,FY_25,TS,TS4,78%
30-Apr-25,APR,FY_25,TS,TS5,78%
30-Apr-25,APR,FY_25,TH,TH1,25%
30-Apr-25,APR,FY_25,TH,TH2,60%
30-Apr-25,APR,FY_25,TH,TH4,34%
30-Apr-25,APR,FY_25,TH,TH5,56%
30-Apr-25,APR,FY_25,TENSILE,TENSILE,0%
30-Apr-25,APR,FY_25,VI,VI,20%
30-Apr-25,APR,FY_25,CMM,CMM,0%
30-Apr-25,APR,FY_25,CHILLER ,CHILLER 10T,25%
30-Apr-25,APR,FY_25,CHILLER ,CHILLER 15T NO.1,0%
30-Apr-25,APR,FY_25,CHILLER ,CHILLER 15T NO.2,78%
30-Apr-25,APR,FY_25,DURA,DURA_TURN,75%
30-Apr-25,APR,FY_25,DURA,DURA_DIM,50%
30-Apr-25,APR,FY_25,DURA,DURA_LIGHT,100%
30-Apr-25,APR,FY_25,DURA,DURA_STOP,100%
30-Apr-25,APR,FY_25,DURA,DURA_DOOR,0%
30-Apr-25,APR,FY_25,DURA,DURA_STEER,0%
30-Apr-25,APR,FY_25,DURA,DURA_BUTTON,0%
31-May-25,MAY,FY_25,TE,TE1,42%
31-May-25,MAY,FY_25,TE,TE2,0%
31-May-25,MAY,FY_25,TE,TE3,27%
31-May-25,MAY,FY_25,TE,TE4,63%
31-May-25,MAY,FY_25,TS,TS1,0%
31-May-25,MAY,FY_25,TS,TS2,0%
31-May-25,MAY,FY_25,TS,TS4,76%
31-May-25,MAY,FY_25,TS,TS5,76%
31-May-25,MAY,FY_25,TH,TH1,0%
31-May-25,MAY,FY_25,TH,TH2,66%
31-May-25,MAY,FY_25,TH,TH4,37%
31-May-25,MAY,FY_25,TH,TH5,59%
31-May-25,MAY,FY_25,TENSILE,TENSILE,0%
31-May-25,MAY,FY_25,VI,VI,4%
31-May-25,MAY,FY_25,CMM,CMM,2%
31-May-25,MAY,FY_25,CHILLER ,CHILLER 10T,0%
31-May-25,MAY,FY_25,CHILLER ,CHILLER 15T NO.1,76%
31-May-25,MAY,FY_25,CHILLER ,CHILLER 15T NO.2,0%
31-May-25,MAY,FY_25,DURA,DURA_TURN,20%
31-May-25,MAY,FY_25,DURA,DURA_DIM,20%
31-May-25,MAY,FY_25,DURA,DURA_LIGHT,0%
31-May-25,MAY,FY_25,DURA,DURA_STOP,0%
31-May-25,MAY,FY_25,DURA,DURA_DOOR,20%
31-May-25,MAY,FY_25,DURA,DURA_STEER,0%
31-May-25,MAY,FY_25,DURA,DURA_BUTTON,0%
30-Jun-25,JUN,FY_25,TE,TE1,29%
30-Jun-25,JUN,FY_25,TE,TE2,0%
30-Jun-25,JUN,FY_25,TE,TE3,47%
30-Jun-25,JUN,FY_25,TE,TE4,27%
30-Jun-25,JUN,FY_25,TS,TS1,0%
30-Jun-25,JUN,FY_25,TS,TS2,0%
30-Jun-25,JUN,FY_25,TS,TS4,92%
30-Jun-25,JUN,FY_25,TS,TS5,39%
30-Jun-25,JUN,FY_25,TH,TH1,0%
30-Jun-25,JUN,FY_25,TH,TH2,66%
30-Jun-25,JUN,FY_25,TH,TH4,61%
30-Jun-25,JUN,FY_25,TH,TH5,59%
30-Jun-25,JUN,FY_25,TENSILE,TENSILE,0%
30-Jun-25,JUN,FY_25,VI,VI,11%
30-Jun-25,JUN,FY_25,CMM,CMM,0%
30-Jun-25,JUN,FY_25,CHILLER ,CHILLER 10T,0%
30-Jun-25,JUN,FY_25,CHILLER ,CHILLER 15T NO.1,0%
30-Jun-25,JUN,FY_25,CHILLER ,CHILLER 15T NO.2,88%
30-Jun-25,JUN,FY_25,DURA,DURA_TURN,0%
30-Jun-25,JUN,FY_25,DURA,DURA_DIM,0%
30-Jun-25,JUN,FY_25,DURA,DURA_LIGHT,0%
30-Jun-25,JUN,FY_25,DURA,DURA_STOP,0%
30-Jun-25,JUN,FY_25,DURA,DURA_DOOR,0%
30-Jun-25,JUN,FY_25,DURA,DURA_STEER,0%
30-Jun-25,JUN,FY_25,DURA,DURA_BUTTON,0%
31-Jul-25,JUL,FY_25,TE,TE1,25%
31-Jul-25,JUL,FY_25,TE,TE2,13%
31-Jul-25,JUL,FY_25,TE,TE3,1%
31-Jul-25,JUL,FY_25,TE,TE4,26%
31-Jul-25,JUL,FY_25,TS,TS1,0%
31-Jul-25,JUL,FY_25,TS,TS2,0%
31-Jul-25,JUL,FY_25,TS,TS4,100%
31-Jul-25,JUL,FY_25,TS,TS5,100%
31-Jul-25,JUL,FY_25,TH,TH1,0%
31-Jul-25,JUL,FY_25,TH,TH2,51%
31-Jul-25,JUL,FY_25,TH,TH4,0%
31-Jul-25,JUL,FY_25,TH,TH5,26%
31-Jul-25,JUL,FY_25,TENSILE,TENSILE,1%
31-Jul-25,JUL,FY_25,VI,VI,22%
31-Jul-25,JUL,FY_25,CMM,CMM,3%
31-Jul-25,JUL,FY_25,CHILLER ,CHILLER 10T,0%
31-Jul-25,JUL,FY_25,CHILLER ,CHILLER 15T NO.1,100%
31-Jul-25,JUL,FY_25,CHILLER ,CHILLER 15T NO.2,0%
31-Jul-25,JUL,FY_25,DURA,DURA_TURN,100%
31-Jul-25,JUL,FY_25,DURA,DURA_DIM,100%
31-Jul-25,JUL,FY_25,DURA,DURA_LIGHT,50%
31-Jul-25,JUL,FY_25,DURA,DURA_STOP,100%
31-Jul-25,JUL,FY_25,DURA,DURA_DOOR,0%
31-Jul-25,JUL,FY_25,DURA,DURA_STEER,0%
31-Jul-25,JUL,FY_25,DURA,DURA_BUTTON,0%
31-Aug-25,AUG,FY_25,TE,TE1,35%
31-Aug-25,AUG,FY_25,TE,TE2,9%
31-Aug-25,AUG,FY_25,TE,TE3,3%
31-Aug-25,AUG,FY_25,TE,TE4,13%
31-Aug-25,AUG,FY_25,TS,TS1,0%
31-Aug-25,AUG,FY_25,TS,TS2,0%
31-Aug-25,AUG,FY_25,TS,TS4,100%
31-Aug-25,AUG,FY_25,TS,TS5,99%
31-Aug-25,AUG,FY_25,TH,TH1,0%
31-Aug-25,AUG,FY_25,TH,TH2,70%
31-Aug-25,AUG,FY_25,TH,TH4,49%
31-Aug-25,AUG,FY_25,TH,TH5,77%
31-Aug-25,AUG,FY_25,TENSILE,TENSILE,1%
31-Aug-25,AUG,FY_25,VI,VI,3%
31-Aug-25,AUG,FY_25,CMM,CMM,1%
31-Aug-25,AUG,FY_25,CHILLER ,CHILLER 10T,0%
31-Aug-25,AUG,FY_25,CHILLER ,CHILLER 15T NO.1,0%
31-Aug-25,AUG,FY_25,CHILLER ,CHILLER 15T NO.2,100%
31-Aug-25,AUG,FY_25,DURA,DURA_TURN,30%
31-Aug-25,AUG,FY_25,DURA,DURA_DIM,30%
31-Aug-25,AUG,FY_25,DURA,DURA_LIGHT,0%
31-Aug-25,AUG,FY_25,DURA,DURA_STOP,0%
31-Aug-25,AUG,FY_25,DURA,DURA_DOOR,0%
31-Aug-25,AUG,FY_25,DURA,DURA_STEER,0%
31-Aug-25,AUG,FY_25,DURA,DURA_BUTTON,0%
30-Sep-25,SEP,FY_25,TE,TE1,37%
30-Sep-25,SEP,FY_25,TE,TE2,34%
30-Sep-25,SEP,FY_25,TE,TE3,27%
30-Sep-25,SEP,FY_25,TE,TE4,30%
30-Sep-25,SEP,FY_25,TS,TS1,0%
30-Sep-25,SEP,FY_25,TS,TS2,0%
30-Sep-25,SEP,FY_25,TS,TS4,92%
30-Sep-25,SEP,FY_25,TS,TS5,92%
30-Sep-25,SEP,FY_25,TH,TH1,0%
30-Sep-25,SEP,FY_25,TH,TH2,57%
30-Sep-25,SEP,FY_25,TH,TH4,35%
30-Sep-25,SEP,FY_25,TH,TH5,77%
30-Sep-25,SEP,FY_25,TENSILE,TENSILE,4%
30-Sep-25,SEP,FY_25,VI,VI,9%
30-Sep-25,SEP,FY_25,CMM,CMM,1%
30-Sep-25,SEP,FY_25,CHILLER ,CHILLER 10T,0%
30-Sep-25,SEP,FY_25,CHILLER ,CHILLER 15T NO.1,92%
30-Sep-25,SEP,FY_25,CHILLER ,CHILLER 15T NO.2,0%
30-Sep-25,SEP,FY_25,DURA,DURA_TURN,30%
30-Sep-25,SEP,FY_25,DURA,DURA_DIM,30%
30-Sep-25,SEP,FY_25,DURA,DURA_LIGHT,0%
30-Sep-25,SEP,FY_25,DURA,DURA_STOP,0%
30-Sep-25,SEP,FY_25,DURA,DURA_DOOR,0%
30-Sep-25,SEP,FY_25,DURA,DURA_STEER,0%
30-Sep-25,SEP,FY_25,DURA,DURA_BUTTON,0%
31-Oct-25,OCT,FY_25,TE,TE1,22%
31-Oct-25,OCT,FY_25,TE,TE2,18%
31-Oct-25,OCT,FY_25,TE,TE3,44%
31-Oct-25,OCT,FY_25,TE,TE4,40%
31-Oct-25,OCT,FY_25,TS,TS1,0%
31-Oct-25,OCT,FY_25,TS,TS2,0%
31-Oct-25,OCT,FY_25,TS,TS4,89%
31-Oct-25,OCT,FY_25,TS,TS5,89%
31-Oct-25,OCT,FY_25,TH,TH1,0%
31-Oct-25,OCT,FY_25,TH,TH2,40%
31-Oct-25,OCT,FY_25,TH,TH4,16%
31-Oct-25,OCT,FY_25,TH,TH5,28%
31-Oct-25,OCT,FY_25,TENSILE,TENSILE,1%
31-Oct-25,OCT,FY_25,VI,VI,27%
31-Oct-25,OCT,FY_25,CMM,CMM,1%
31-Oct-25,OCT,FY_25,CHILLER ,CHILLER 10T,0%
31-Oct-25,OCT,FY_25,CHILLER ,CHILLER 15T NO.1,89%
31-Oct-25,OCT,FY_25,CHILLER ,CHILLER 15T NO.2,0%
31-Oct-25,OCT,FY_25,DURA,DURA_TURN,50%
31-Oct-25,OCT,FY_25,DURA,DURA_DIM,50%
31-Oct-25,OCT,FY_25,DURA,DURA_LIGHT,10%
31-Oct-25,OCT,FY_25,DURA,DURA_STOP,0%
31-Oct-25,OCT,FY_25,DURA,DURA_DOOR,0%
31-Oct-25,OCT,FY_25,DURA,DURA_STEER,0%
31-Oct-25,OCT,FY_25,DURA,DURA_BUTTON,0%
30-Nov-25,NOV,FY_25,TE,TE1,13%
30-Nov-25,NOV,FY_25,TE,TE2,67%
30-Nov-25,NOV,FY_25,TE,TE3,67%
30-Nov-25,NOV,FY_25,TE,TE4,40%
30-Nov-25,NOV,FY_25,TS,TS1,0%
30-Nov-25,NOV,FY_25,TS,TS2,0%
30-Nov-25,NOV,FY_25,TS,TS4,92%
30-Nov-25,NOV,FY_25,TS,TS5,65%
30-Nov-25,NOV,FY_25,TH,TH1,0%
30-Nov-25,NOV,FY_25,TH,TH2,23%
30-Nov-25,NOV,FY_25,TH,TH4,0%
30-Nov-25,NOV,FY_25,TH,TH5,23%
30-Nov-25,NOV,FY_25,TENSILE,TENSILE,1%
30-Nov-25,NOV,FY_25,VI,VI,22%
30-Nov-25,NOV,FY_25,CMM,CMM,1%
30-Nov-25,NOV,FY_25,CHILLER ,CHILLER 10T,0%
30-Nov-25,NOV,FY_25,CHILLER ,CHILLER 15T NO.1,92%
30-Nov-25,NOV,FY_25,CHILLER ,CHILLER 15T NO.2,0%
30-Nov-25,NOV,FY_25,DURA,DURA_TURN,0%
30-Nov-25,NOV,FY_25,DURA,DURA_DIM,100%
30-Nov-25,NOV,FY_25,DURA,DURA_LIGHT,0%
30-Nov-25,NOV,FY_25,DURA,DURA_STOP,0%
30-Nov-25,NOV,FY_25,DURA,DURA_DOOR,30%
30-Nov-25,NOV,FY_25,DURA,DURA_STEER,0%
30-Nov-25,NOV,FY_25,DURA,DURA_BUTTON,0%
31-Dec-25,DEC,FY_25,TE,TE1,39%
31-Dec-25,DEC,FY_25,TE,TE2,30%
31-Dec-25,DEC,FY_25,TE,TE3,24%
31-Dec-25,DEC,FY_25,TE,TE4,52%
31-Dec-25,DEC,FY_25,TS,TS1,0%
31-Dec-25,DEC,FY_25,TS,TS2,0%
31-Dec-25,DEC,FY_25,TS,TS4,94%
31-Dec-25,DEC,FY_25,TS,TS5,94%
31-Dec-25,DEC,FY_25,TS,TR1,18%
31-Dec-25,DEC,FY_25,TH,TH2,40%
31-Dec-25,DEC,FY_25,TH,TH4,15%
31-Dec-25,DEC,FY_25,TH,TH5,40%
31-Dec-25,DEC,FY_25,TENSILE,TENSILE,1%
31-Dec-25,DEC,FY_25,VI,VI,6%
31-Dec-25,DEC,FY_25,CMM,CMM,1%
31-Dec-25,DEC,FY_25,CHILLER ,CHILLER 10T,18%
31-Dec-25,DEC,FY_25,CHILLER ,CHILLER 15T NO.1,70%
31-Dec-25,DEC,FY_25,CHILLER ,CHILLER 15T NO.2,23%
31-Dec-25,DEC,FY_25,DURA,DURA_TURN,25%
31-Dec-25,DEC,FY_25,DURA,DURA_DIM,50%
31-Dec-25,DEC,FY_25,DURA,DURA_LIGHT,50%
31-Dec-25,DEC,FY_25,DURA,DURA_STOP,0%
31-Dec-25,DEC,FY_25,DURA,DURA_DOOR,0%
31-Dec-25,DEC,FY_25,DURA,DURA_STEER,0%
31-Dec-25,DEC,FY_25,DURA,DURA_BUTTON,0%
31-Jan-26,JAN,FY_25,TE,TE1,9%
31-Jan-26,JAN,FY_25,TE,TE2,1%
31-Jan-26,JAN,FY_25,TE,TE3,9%
31-Jan-26,JAN,FY_25,TE,TE4,13%
31-Jan-26,JAN,FY_25,TS,TS1,0%
31-Jan-26,JAN,FY_25,TS,TS2,0%
31-Jan-26,JAN,FY_25,TS,TS4,83%
31-Jan-26,JAN,FY_25,TS,TS5,83%
31-Jan-26,JAN,FY_25,TS,TR1,83%
31-Jan-26,JAN,FY_25,TH,TH2,9%
31-Jan-26,JAN,FY_25,TH,TH4,3%
31-Jan-26,JAN,FY_25,TH,TH5,12%
31-Jan-26,JAN,FY_25,TENSILE,TENSILE,1%
31-Jan-26,JAN,FY_25,VI,VI,15%
31-Jan-26,JAN,FY_25,CMM,CMM,1%
31-Jan-26,JAN,FY_25,CHILLER ,CHILLER 10T,83%
31-Jan-26,JAN,FY_25,CHILLER ,CHILLER 15T NO.1,51%
31-Jan-26,JAN,FY_25,CHILLER ,CHILLER 15T NO.2,32%
31-Jan-26,JAN,FY_25,DURA,DURA_TURN,100%
31-Jan-26,JAN,FY_25,DURA,DURA_DIM,100%
31-Jan-26,JAN,FY_25,DURA,DURA_LIGHT,50%
31-Jan-26,JAN,FY_25,DURA,DURA_STOP,0%
31-Jan-26,JAN,FY_25,DURA,DURA_DOOR,0%
31-Jan-26,JAN,FY_25,DURA,DURA_STEER,0%
31-Jan-26,JAN,FY_25,DURA,DURA_BUTTON,0%
28-Feb-26,FEB,FY_25,TE,TE1,32%
28-Feb-26,FEB,FY_25,TE,TE2,29%
28-Feb-26,FEB,FY_25,TE,TE3,19%
28-Feb-26,FEB,FY_25,TE,TE4,11%
28-Feb-26,FEB,FY_25,TS,TS1,0%
28-Feb-26,FEB,FY_25,TS,TS2,0%
28-Feb-26,FEB,FY_25,TS,TS4,100%
28-Feb-26,FEB,FY_25,TS,TS5,82%
28-Feb-26,FEB,FY_25,TS,TR1,79%
28-Feb-26,FEB,FY_25,TH,TH2,41%
28-Feb-26,FEB,FY_25,TH,TH4,75%
28-Feb-26,FEB,FY_25,TH,TH5,58%
28-Feb-26,FEB,FY_25,TENSILE,TENSILE,0%
28-Feb-26,FEB,FY_25,VI,VI,55%
28-Feb-26,FEB,FY_25,CMM,CMM,1%
28-Feb-26,FEB,FY_25,CHILLER ,CHILLER 10T,79%
28-Feb-26,FEB,FY_25,CHILLER ,CHILLER 15T NO.1,100%
28-Feb-26,FEB,FY_25,CHILLER ,CHILLER 15T NO.2,0%
28-Feb-26,FEB,FY_25,DURA,DURA_TURN,0%
28-Feb-26,FEB,FY_25,DURA,DURA_DIM,0%
28-Feb-26,FEB,FY_25,DURA,DURA_LIGHT,0%
28-Feb-26,FEB,FY_25,DURA,DURA_STOP,0%
28-Feb-26,FEB,FY_25,DURA,DURA_DOOR,30%
28-Feb-26,FEB,FY_25,DURA,DURA_STEER,0%
28-Feb-26,FEB,FY_25,DURA,DURA_BUTTON,0%
31-Mar-26,MAR,FY_25,TE,TE1,13%
31-Mar-26,MAR,FY_25,TE,TE2,53%
31-Mar-26,MAR,FY_25,TE,TE3,0%
31-Mar-26,MAR,FY_25,TE,TE4,15%
31-Mar-26,MAR,FY_25,TS,TS1,0%
31-Mar-26,MAR,FY_25,TS,TS2,0%
31-Mar-26,MAR,FY_25,TS,TS4,98%
31-Mar-26,MAR,FY_25,TS,TS5,98%
31-Mar-26,MAR,FY_25,TS,TR1,22%
31-Mar-26,MAR,FY_25,TH,TH2,52%
31-Mar-26,MAR,FY_25,TH,TH4,65%
31-Mar-26,MAR,FY_25,TH,TH5,96%
31-Mar-26,MAR,FY_25,TENSILE,TENSILE,1%
31-Mar-26,MAR,FY_25,VI,VI,3%
31-Mar-26,MAR,FY_25,CMM,CMM,1%
31-Mar-26,MAR,FY_25,CHILLER ,CHILLER 10T,0%
31-Mar-26,MAR,FY_25,CHILLER ,CHILLER 15T NO.1,0%
31-Mar-26,MAR,FY_25,CHILLER ,CHILLER 15T NO.2,50%
31-Mar-26,MAR,FY_25,DURA,DURA_TURN,50%
31-Mar-26,MAR,FY_25,DURA,DURA_DIM,25%
31-Mar-26,MAR,FY_25,DURA,DURA_LIGHT,0%
31-Mar-26,MAR,FY_25,DURA,DURA_STOP,0%
31-Mar-26,MAR,FY_25,DURA,DURA_DOOR,0%
31-Mar-26,MAR,FY_25,DURA,DURA_STEER,0%
31-Mar-26,MAR,FY_25,DURA,DURA_BUTTON,0%
30-Apr-26,APR,FY_26,TE,TE1,0%
30-Apr-26,APR,FY_26,TE,TE2,3%
30-Apr-26,APR,FY_26,TE,TE3,28%
30-Apr-26,APR,FY_26,TE,TE4,33%
30-Apr-26,APR,FY_26,TS,TS1,0%
30-Apr-26,APR,FY_26,TS,TS2,0%
30-Apr-26,APR,FY_26,TS,TS4,84%
30-Apr-26,APR,FY_26,TS,TS5,54%
30-Apr-26,APR,FY_26,TS,TR1,74%
30-Apr-26,APR,FY_26,TH,TH2,80%
30-Apr-26,APR,FY_26,TH,TH4,78%
30-Apr-26,APR,FY_26,TH,TH5,78%
30-Apr-26,APR,FY_26,TENSILE,TENSILE,1%
30-Apr-26,APR,FY_26,VI,VI,1%
30-Apr-26,APR,FY_26,CHILLER ,CHILLER 15T NO.1,0%
30-Apr-26,APR,FY_26,CHILLER ,CHILLER 15T NO.2,84%
30-Apr-26,APR,FY_26,CHILLER ,CHILLER 15T NO.3,74%
30-Apr-26,APR,FY_26,DURA,DURA_TURN,0%
30-Apr-26,APR,FY_26,DURA,DURA_DIM,0%
30-Apr-26,APR,FY_26,DURA,DURA_LIGHT,50%
30-Apr-26,APR,FY_26,DURA,DURA_STOP,0%
30-Apr-26,APR,FY_26,DURA,DURA_DOOR,0%
30-Apr-26,APR,FY_26,DURA,DURA_STEER,0%
30-Apr-26,APR,FY_26,DURA,DURA_BUTTON,0%
