DATE,MONTH,FY,MC,MACHINE_NO,OPERATION_RATE
30-Sep-23,SEP,FY_23,TS,TS4,100%
30-Sep-23,SEP,FY_23,TH,TH1,59%
30-Sep-23,SEP,FY_23,TH,TH2,33%
30-Sep-23,SEP,FY_23,TH,TH3,100%
30-Sep-23,SEP,FY_23,TH,TH4,66%
30-Sep-23,SEP,FY_23,TENSILE,TENSILE,0%
30-Sep-23,SEP,FY_23,VI,VI,31%
30-Sep-23,SEP,FY_23,CMM,CMM,4%
30-Sep-23,SEP,FY_23,CHILLER ,CHILLER 10T,63%
30-Sep-23,SEP,FY_23,CHILLER ,CHILLER 15T NO.1,100%
30-Sep-23,SEP,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Oct-23,OCT,FY_23,TE,TE1,32%
30-Oct-23,OCT,FY_23,TE,TE2,41%
30-Oct-23,OCT,FY_23,TE,TE3,35%
30-Oct-23,OCT,FY_23,TE,TE4,52%
30-Oct-23,OCT,FY_23,TS,TS1,92%
30-Oct-23,OCT,FY_23,TS,TS2,0%
30-Oct-23,OCT,FY_23,TS,TS3,11%
30-Oct-23,OCT,FY_23,TS,TS4,96%
30-Oct-23,OCT,FY_23,TH,TH1,94%
30-Oct-23,OCT,FY_23,TH,TH2,79%
30-Oct-23,OCT,FY_23,TH,TH3,28%
30-Oct-23,OCT,FY_23,TH,TH4,93%
30-Oct-23,OCT,FY_23,TENSILE,TENSILE,2%
30-Oct-23,OCT,FY_23,VI,VI,13%
30-Oct-23,OCT,FY_23,CMM,CMM,1%
30-Oct-23,OCT,FY_23,CHILLER ,CHILLER 10T,100%
30-Oct-23,OCT,FY_23,CHILLER ,CHILLER 15T NO.1,100%
30-Oct-23,OCT,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Nov-23,NOV,FY_23,TE,TE1,24%
30-Nov-23,NOV,FY_23,TE,TE2,43%
30-Nov-23,NOV,FY_23,TE,TE3,38%
30-Nov-23,NOV,FY_23,TE,TE4,39%
30-Nov-23,NOV,FY_23,TS,TS1,100%
30-Nov-23,NOV,FY_23,TS,TS2,0%
30-Nov-23,NOV,FY_23,TS,TS3,0%
30-Nov-23,NOV,FY_23,TS,TS4,100%
30-Nov-23,NOV,FY_23,TH,TH1,98%
30-Nov-23,NOV,FY_23,TH,TH2,94%
30-Nov-23,NOV,FY_23,TH,TH3,0%
30-Nov-23,NOV,FY_23,TH,TH4,96%
30-Nov-23,NOV,FY_23,TENSILE,TENSILE,0%
30-Nov-23,NOV,FY_23,VI,VI,19%
30-Nov-23,NOV,FY_23,CMM,CMM,1%
30-Nov-23,NOV,FY_23,CHILLER ,CHILLER 10T,100%
30-Nov-23,NOV,FY_23,CHILLER ,CHILLER 15T NO.1,100%
30-Nov-23,NOV,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Dec-23,DEC,FY_23,TE,TE1,16%
30-Dec-23,DEC,FY_23,TE,TE2,17%
30-Dec-23,DEC,FY_23,TE,TE3,12%
30-Dec-23,DEC,FY_23,TE,TE4,58%
30-Dec-23,DEC,FY_23,TS,TS1,24%
30-Dec-23,DEC,FY_23,TS,TS2,0%
30-Dec-23,DEC,FY_23,TS,TS3,0%
30-Dec-23,DEC,FY_23,TS,TS4,86%
30-Dec-23,DEC,FY_23,TH,TH1,86%
30-Dec-23,DEC,FY_23,TH,TH2,0%
30-Dec-23,DEC,FY_23,TH,TH3,0%
30-Dec-23,DEC,FY_23,TH,TH4,85%
30-Dec-23,DEC,FY_23,TENSILE,TENSILE,0%
30-Dec-23,DEC,FY_23,VI,VI,17%
30-Dec-23,DEC,FY_23,CMM,CMM,1%
30-Dec-23,DEC,FY_23,CHILLER ,CHILLER 10T,89%
30-Dec-23,DEC,FY_23,CHILLER ,CHILLER 15T NO.1,23%
30-Dec-23,DEC,FY_23,CHILLER ,CHILLER 15T NO.2,89%
30-Jan-24,JAN,FY_23,TE,TE1,0%
30-Jan-24,JAN,FY_23,TE,TE2,23%
30-Jan-24,JAN,FY_23,TE,TE3,20%
30-Jan-24,JAN,FY_23,TE,TE4,34%
30-Jan-24,JAN,FY_23,TS,TS1,0%
30-Jan-24,JAN,FY_23,TS,TS2,0%
30-Jan-24,JAN,FY_23,TS,TS3,0%
30-Jan-24,JAN,FY_23,TS,TS4,88%
30-Jan-24,JAN,FY_23,TH,TH1,89%
30-Jan-24,JAN,FY_23,TH,TH2,44%
30-Jan-24,JAN,FY_23,TH,TH3,0%
30-Jan-24,JAN,FY_23,TH,TH4,88%
30-Jan-24,JAN,FY_23,TENSILE,TENSILE,0%
30-Jan-24,JAN,FY_23,VI,VI,3%
30-Jan-24,JAN,FY_23,CMM,CMM,3%
30-Jan-24,JAN,FY_23,CHILLER ,CHILLER 10T,88%
30-Jan-24,JAN,FY_23,CHILLER ,CHILLER 15T NO.1,0%
30-Jan-24,JAN,FY_23,CHILLER ,CHILLER 15T NO.2,88%
